target_id	length	eff_length	est_counts	tpm
ENSDART00000171117.1	11	10	0	0
ENSDART00000162914.1	10	9	0	0
ENSDART00000161368.1	354	201.905	0	0
ENSDART00000172037.1	344	192.256	0	0
ENSDART00000165410.1	350	198.033	0	0
ENSDART00000163675.1	339	187.512	0	0
ENSDART00000172374.1	355	202.878	0	0
ENSDART00000161537.1	377	224.088	0	0
ENSDART00000159235.1	348	196.093	0	0
ENSDART00000171772.1	483	328.644	0	0
ENSDART00000167404.1	357	204.728	0	0
ENSDART00000171344.1	462	307.802	0	0
ENSDART00000168039.1	470	315.698	0	0
ENSDART00000157830.1	431	277.169	0	0
ENSDART00000166182.1	372	219.251	0	0
ENSDART00000167805.1	378	225.043	0	0
ENSDART00000159795.1	419	265.341	0	0
ENSDART00000160202.1	378	225.043	0	0
ENSDART00000163851.1	330	178.933	0	0
ENSDART00000161463.1	417	263.368	0	0
ENSDART00000164491.1	366	213.454	0	0
ENSDART00000158772.1	348	196.093	0	0
ENSDART00000167409.1	420	266.324	0	0
ENSDART00000160204.1	348	196.093	0	0
ENSDART00000167067.1	378	225.043	0	0
ENSDART00000161271.1	334	182.768	1	0.139237
ENSDART00000163938.1	366	213.454	0	0
ENSDART00000161622.1	445	290.971	0	0
ENSDART00000162257.1	426	272.243	0	0
ENSDART00000158119.1	318	167.499	0	0
ENSDART00000169491.1	387	233.859	0	0
ENSDART00000172528.1	396	242.731	1	0.10484
ENSDART00000166253.1	411	257.472	0	0
ENSDART00000160948.1	323	172.218	0	0
ENSDART00000164309.1	390	236.819	0	0
ENSDART00000160996.1	369	216.353	0	0
ENSDART00000166892.1	332	180.841	4	0.562881
ENSDART00000171613.1	393	239.756	0	0
ENSDART00000164961.1	357	204.728	0	0
ENSDART00000164492.1	396	242.731	0	0
ENSDART00000158814.1	396	242.731	0	0
ENSDART00000171201.1	397	243.715	0	0
ENSDART00000164110.1	399	245.682	0	0
ENSDART00000166029.1	381	227.99	0	0
ENSDART00000165676.1	371	218.281	0	0
ENSDART00000163282.1	342	190.346	0	0
ENSDART00000167496.1	346	194.178	0	0
ENSDART00000164659.1	404	250.608	0	0
ENSDART00000164489.1	350	198.033	0	0
ENSDART00000160625.1	413	259.429	0	0
ENSDART00000169436.1	387	233.859	0	0
ENSDART00000170399.1	380	227.005	0	0
