target_id	length	eff_length	est_counts	tpm
ENSDART00000171117.1	11	5.66667	0	0
ENSDART00000162914.1	10	5.6	0	0
ENSDART00000161368.1	354	188.898	2	0.170745
ENSDART00000172037.1	344	179.42	6.44468	0.579263
ENSDART00000165410.1	350	185.075	2.55532	0.22266
ENSDART00000163675.1	339	174.738	1	0.0922908
ENSDART00000172374.1	355	189.847	1	0.0849459
ENSDART00000161537.1	377	210.912	1	0.0764619
ENSDART00000159235.1	348	183.175	0	0
ENSDART00000171772.1	483	314.614	0	0
ENSDART00000167404.1	357	191.763	0	0
ENSDART00000171344.1	462	293.858	0	0
ENSDART00000168039.1	470	301.768	0	0
ENSDART00000157830.1	431	263.305	0	0
ENSDART00000166182.1	372	206.13	0	0
ENSDART00000167805.1	378	211.891	0	0
ENSDART00000159795.1	419	251.554	1	0.0641083
ENSDART00000160202.1	378	211.891	0	0
ENSDART00000163851.1	330	166.323	0	0
ENSDART00000161463.1	417	249.621	0	0
ENSDART00000164491.1	366	200.307	0	0
ENSDART00000158772.1	348	183.175	0	0
ENSDART00000167409.1	420	252.546	0	0
ENSDART00000160204.1	348	183.175	0	0
ENSDART00000167067.1	378	211.891	1	0.0761087
ENSDART00000161271.1	334	170.042	0	0
ENSDART00000163938.1	366	200.307	0	0
ENSDART00000161622.1	445	277.125	0	0
ENSDART00000162257.1	426	258.366	0	0
ENSDART00000158119.1	318	155.286	0	0
ENSDART00000169491.1	387	220.513	0	0
ENSDART00000172528.1	396	229.219	0	0
ENSDART00000166253.1	411	243.753	0	0
ENSDART00000160948.1	323	159.79	0	0
ENSDART00000164309.1	390	223.364	0	0
ENSDART00000160996.1	369	203.178	0	0
ENSDART00000166892.1	332	168.192	2	0.191766
ENSDART00000171613.1	393	226.288	1	0.0712662
ENSDART00000164961.1	357	191.763	2	0.168194
ENSDART00000164492.1	396	229.219	1	0.0703549
ENSDART00000158814.1	396	229.219	0	0
ENSDART00000171201.1	397	230.173	0	0
ENSDART00000164110.1	399	232.08	0	0
ENSDART00000166029.1	381	214.733	0	0
ENSDART00000165676.1	371	205.143	1	0.0786119
ENSDART00000163282.1	342	177.505	0	0
ENSDART00000167496.1	346	181.304	0	0
ENSDART00000164659.1	404	236.939	2	0.136126
ENSDART00000164489.1	350	185.075	0	0
ENSDART00000160625.1	413	245.696	0	0
ENSDART00000169436.1	387	220.513	0	0
ENSDART00000170399.1	380	213.762	1	0.0754425
ENSDART00000162378.1	358	192.698	0	0
ENSDART00000169864.1	389	222.424	0	0
ENSDART00000164059.1	336	171.92	0	0
ENSDART00000168607.1	375	209.011	0	0
ENSDART00000161399.1	381	214.733	0	0
ENSDART00000171483.1	397	230.173	0	0
ENSDART00000171356.1	339	174.738	0	0
ENSDART00000172182.1	413	245.696	0	0
ENSDART00000113019.2	414	246.671	0	0
ENSDART00000170523.1	375	209.011	0	0
ENSDART00000160187.1	385	218.609	0	0
ENSDART00000114271.3	416	248.638	1	0.0648602
ENSDART00000159161.1	423	255.486	0	0
ENSDART00000162061.1	314	151.612	0	0
ENSDART00000166882.1	420	252.546	0	0
ENSDART00000171020.1	383	216.66	0	0
ENSDART00000162456.1	366	200.307	0	0
ENSDART00000160762.1	345	180.378	7	0.625837
ENSDART00000170804.1	366	200.307	4	0.32204
ENSDART00000171132.1	338	173.78	2	0.1856
ENSDART00000168177.1	3370	3200.75	272.346	1.37219
ENSDART00000171570.1	1371	1201.75	102.745	1.37877
ENSDART00000162578.1	3367	3197.75	3.96375e-05	1.99897e-07
ENSDART00000007487.8	873	703.753	930	21.3112
ENSDART00000171860.1	754	584.753	0	0
