target_id	length	eff_length	est_counts	tpm
ENSDART00000171117.1	11	1	0	0
ENSDART00000162914.1	10	11	0	0
ENSDART00000161368.1	354	192.82	0	0
ENSDART00000172037.1	344	183.316	3	0.296412
ENSDART00000165410.1	350	189.037	1	0.0958137
ENSDART00000163675.1	339	178.563	0	0
ENSDART00000172374.1	355	193.727	0	0
ENSDART00000161537.1	377	214.815	0	0
ENSDART00000159235.1	348	187.142	0	0
ENSDART00000171772.1	483	318.937	0	0
ENSDART00000167404.1	357	195.633	0	0
ENSDART00000171344.1	462	298.098	0	0
ENSDART00000168039.1	470	306.023	0	0
ENSDART00000157830.1	431	267.516	0	0
ENSDART00000166182.1	372	210.007	0	0
ENSDART00000167805.1	378	215.783	0	0
ENSDART00000159795.1	419	255.752	0	0
ENSDART00000160202.1	378	215.783	0	0
ENSDART00000163851.1	330	170.036	0	0
ENSDART00000161463.1	417	253.816	0	0
ENSDART00000164491.1	366	204.295	0	0
ENSDART00000158772.1	348	187.142	0	0
ENSDART00000167409.1	420	256.732	0	0
ENSDART00000160204.1	348	187.142	0	0
ENSDART00000167067.1	378	215.783	0	0
ENSDART00000161271.1	334	173.77	0	0
ENSDART00000163938.1	366	204.295	0	0
ENSDART00000161622.1	445	281.344	0	0
ENSDART00000162257.1	426	262.628	0	0
ENSDART00000158119.1	318	158.889	0	0
ENSDART00000169491.1	387	224.483	0	0
ENSDART00000172528.1	396	233.253	0	0
ENSDART00000166253.1	411	247.891	0	0
ENSDART00000160948.1	323	163.473	0	0
ENSDART00000164309.1	390	227.415	0	0
ENSDART00000160996.1	369	207.144	0	0
ENSDART00000166892.1	332	171.91	0	0
ENSDART00000171613.1	393	230.363	0	0
ENSDART00000164961.1	357	195.633	0	0
ENSDART00000164492.1	396	233.253	2	0.155302
ENSDART00000158814.1	396	233.253	0	0
ENSDART00000171201.1	397	234.223	0	0
ENSDART00000164110.1	399	236.158	0	0
ENSDART00000166029.1	381	218.695	1	0.0828201
ENSDART00000165676.1	371	209.055	0	0
ENSDART00000163282.1	342	181.413	0	0
